tconst	averageRating	numVotes
tt0000001	5.6	30
tt0000002	5.6	30
tt0000003	5.6	30
tt0000004	5.6	30
tt0000005	5.6	30
tt0000006	5.6	30
tt0000007	5.6	30
tt0000008	5.6	30
tt0000009	5.6	30
tt0000010	5.6	30
tt0000011	5.6	30
tt0000012	5.6	30
tt0000013	5.6	30
tt0000014	5.6	30
tt0000015	5.6	30
tt0000016	5.6	30
tt0000017	5.6	30
tt0000018	5.6	30
tt0000019	5.6	30
tt0000020	5.6	30
tt0000021	5.6	30
tt0000022	5.6	30
tt0000023	5.6	30
tt0000024	5.6	30
tt0000025	5.6	30
tt0000026	5.6	30
tt0000027	5.6	30
tt0000028	5.6	30
tt0000029	5.6	30
tt0000030	5.6	30
